  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , rpm       , g/s       , mbar      ,, mbar      ,, mbar      ,, V         , V         , V         , V         , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       
TIME,IgnitionRetardCyl1,IgnitionRetardCyl5,IgnitionRetardCyl3,IgnitionRetardCyl2,SelectedGear,AirFuelRatioDesired,WastegateDutyCycle,EngineSpeed,MassAirFlow,BoostPressureDesired,,BaroPressure,,BoostPressureActual,,KnockVoltageCyl1,KnockVoltageCyl5,KnockVoltageCyl3,KnockVoltageCyl2,EngineLoad_8,EngineLoadCorrected,EngineLoadSpecified,EGTModelBeforeCat,IntakeAirTemperature,IntakeAirTemperature,FuelInjectorOnTime,CoolantTemperature,VehicleSpeed,ThrottlePlateAngle,AccelPedalPosition,IgnitionTimingAngleOverall
855.614,0,0,0,0,3,0.811281,0,2960,73.5556,2360,22.23953226,826.641,11.98943574,1267.97,6.40094755,6.09377,8.12502,6.87502,6.56252,84,186.844,195.773,530,23.25,23.25,5.53334,90.75,66.5391,37.6471,99.9999,20.25
855.664,0,0,0,0,3,0.811281,0,2960,75.1389,2360,22.23953226,826.641,11.98943574,1274.38,6.493916908,6.09377,8.12502,6.87502,6.56252,84.75,186.773,195.773,530,23.25,23.25,5.57067,90.75,67,37.6471,99.9999,19.5
855.714,0,0,0,0,3,0.808351,0,3000,75.4723,2360,22.23953226,826.641,11.98943574,1282.34,6.609367156,6.40627,8.12502,7.18752,6.25002,85.5,186.75,195.773,530,23.25,23.25,5.57601,90.75,67.2031,37.6471,99.9999,20.25
855.764,0,0,0,0,3,0.808351,0,3000,76.7778,2360,22.23953226,826.641,11.98943574,1285.63,6.657084658,6.40627,8.12502,7.18752,6.25002,86.25,187.383,196.406,530,23.25,23.25,5.59734,90.75,67.6875,37.6471,99.9999,19.5
855.814,0,0,0,0,3,0.806154,0,3040,77.1945,2360,22.23953226,826.641,11.98943574,1289.53,6.713649478,6.40627,7.81252,7.18752,6.40627,86.25,187.453,196.453,530,23.25,23.25,5.60267,90.75,67.9219,37.6471,99.9999,19.5
855.864,0,0,0,0,3,0.806154,0,3040,78.6945,2380,22.52960826,826.641,11.98943574,1300,6.865504264,6.40627,7.81252,7.18752,6.40627,86.25,188.391,197.273,535,23.25,23.25,5.56534,90.75,68.5391,37.6471,99.9999,19.5
855.914,0,0,0,0,3,0.8042,0,3040,78.2778,2380,22.52960826,826.641,11.98943574,1303.59,6.917572906,6.71877,8.12502,7.50002,6.40627,87,188.719,197.578,535,23.25,23.25,5.61067,90.75,68.7656,37.6471,99.9999,19.5
855.964,0,0,0,0,3,0.8042,0,3080,79.6945,2380,22.52960826,826.641,11.98943574,1313.28,7.058114728,6.71877,8.12502,7.50002,6.40627,87.75,189.422,198.211,535,23.25,23.25,5.64001,90.75,69.2813,37.6471,99.9999,19.5
856.014,0,0,0,0,3,0.802736,0,3080,81.0001,2380,22.52960826,826.641,11.98943574,1321.72,7.1805268,6.40627,8.12502,7.65627,6.56252,87.75,189.867,198.586,535,23.25,23.25,5.62401,90.75,69.6094,37.6471,99.9999,19.5
856.064,0,0,0,0,3,0.802736,0,3120,80.5834,2400,22.81968426,826.641,11.98943574,1326.95,7.256381674,6.40627,8.12502,7.65627,6.56252,88.5,190.359,199.055,540,23.25,23.25,5.61334,90.75,70.0938,37.6471,99.9999,18.75
856.114,0,0,0,0,3,0.801515,0,3120,84.6945,2400,22.81968426,826.641,11.98943574,1339.77,7.44232039,5.93752,8.43752,7.50002,7.03127,90,191.156,199.734,540,23.25,23.25,5.70134,90.75,70.4219,37.6471,99.9999,18.75
856.164,0,0,0,0,3,0.801515,0,3160,84.4167,2400,22.81968426,826.641,11.98943574,1345.16,7.520495872,5.93752,8.43752,7.50002,7.03127,90.75,191.648,200.18,540,23.25,23.25,5.73334,90.75,70.9219,38.4314,99.9999,19.5
856.214,0,0,0,0,3,0.800538,0,3160,86.7223,2400,22.81968426,826.641,11.98943574,1356.33,7.682503318,6.09377,9.06252,7.18752,6.56252,91.5,192.328,200.789,540,23.25,23.25,5.72267,90.75,71.2422,39.2157,99.9999,19.5
856.264,0,0,0,0,3,0.800538,0,3160,89.2223,2400,22.81968426,826.641,11.98943574,1366.8,7.834358104,6.09377,9.06252,7.18752,6.56252,93,192.797,201.211,545,23.25,23.25,5.81334,90.75,71.6953,39.2157,99.9999,18.75
856.314,0,0,0,0,3,0.799806,0,3200,88.3334,2400,22.81968426,826.641,11.98943574,1371.17,7.89773971,6.40627,9.37502,7.34377,6.71877,93.75,193.195,201.539,545,23.25,23.25,5.82401,90.75,72,39.2157,99.9999,18.75
856.364,0,0,0,0,3,0.799806,0,3200,90.9445,2400,22.81968426,826.641,11.98943574,1383.13,8.071205158,6.40627,9.37502,7.34377,6.71877,95.25,193.734,202.008,545,23.25,23.25,5.89867,90.75,72.4063,39.2157,99.9999,18.75
856.414,0,0,0,0,3,0.799318,0,3240,91.6945,2400,22.81968426,826.641,11.98943574,1385.94,8.111960836,6.56252,9.68752,7.81252,7.18752,95.25,194.414,202.617,545,23.25,23.25,5.94401,90.75,72.8672,39.2157,99.9999,18
856.464,0,0,0,0,3,0.799318,0,3280,92.5279,2420,23.10976026,826.641,11.98943574,1397.11,8.273968282,6.56252,9.68752,7.81252,7.18752,96,195.305,203.414,550,23.25,23.25,5.97334,90.75,73.3359,39.2157,99.9999,18
